Ime,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Kosta,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5
Kris,-,-,-,-,7,-,-,-,6,-,6,6,6,-,6,9,8,8,-,12,24,17,31,26
Kristian,13,12,16,13,9,12,12,11,8,18,8,-,-,8,14,9,11,15,14,11,11,17,12,6
Kristijan,33,34,37,23,27,23,15,25,38,22,20,12,11,14,8,15,8,12,20,19,10,15,11,19
Kristjan,55,66,62,65,73,70,70,74,73,91,55,53,54,55,51,32,44,58,44,34,32,28,20,24
Kri�tof,8,-,-,7,8,-,-,5,10,6,9,9,6,-,-,8,8,7,10,6,8,8,12,9
Lan,-,-,-,-,7,22,19,24,31,34,34,59,72,84,79,113,137,127,123,141,122,99,113,120
Lars,-,-,-,-,-,-,-,-,-,-,-,-,-,5,6,8,8,8,5,11,13,11,17,13
Lazar,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,-
Leart,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-
Ledion,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5
Lenart,10,10,6,12,22,14,10,21,10,21,29,19,15,28,24,22,29,23,34,34,46,43,38,40
Leo,-,-,6,-,-,-,7,5,-,7,10,-,10,16,17,13,19,28,34,22,28,34,26,31
Leon,40,47,45,46,51,40,47,37,53,60,65,73,70,76,57,76,89,91,96,69,100,78,87,105
Leonard,-,-,-,-,-,-,-,-,-,-,6,-,-,-,5,-,-,-,5,7,5,-,-,-
Leonardo,-,-,-,-,-,-,6,5,-,-,9,5,5,7,6,-,5,5,6,5,-,-,-,7
Lev,-,-,-,-,-,-,-,-,-,-,-,5,6,10,10,9,10,21,17,11,23,28,22,27
Liam,-,-,-,-,-,-,-,-,5,-,10,7,7,8,11,11,31,34,45,59,51,83,94,106
Lian,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,12,9,15,18,15,22,26,20
Lin,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,-,8,9,7,10,7,-,10
Lionel,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,-,-,-,-,-
Loris,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,7
Lovrenc,-,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,6,-,-,-,5
Lovro,14,26,24,22,22,33,26,37,43,54,59,55,60,63,60,78,109,133,138,130,135,145,167,125
Luan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-
Luc,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-
Lucas,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,5,-,8,8,10,13,14,15,23
Lucijan,-,-,6,-,-,-,8,-,-,-,6,-,-,-,-,5,5,-,5,-,5,-,-,9
Luka,310,322,331,313,345,318,356,380,379,400,342,369,382,356,397,351,370,371,392,339,279,317,276,328
Lukas,-,-,-,-,-,-,6,5,10,-,11,7,16,15,24,26,31,39,36,41,44,56,49,62
Mai,-,-,-,-,-,-,-,-,5,-,7,-,12,10,20,20,30,31,35,26,21,18,22,26
Maid,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,-,-,5,8,8,8
Maik,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-
Maj,-,-,8,11,18,13,26,38,58,40,77,100,115,118,137,127,132,128,120,139,116,111,121,103
Mak,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,-
Maks,12,7,-,12,15,10,20,30,27,55,54,41,49,69,82,92,122,106,126,143,129,154,118,139
Maksim,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9,8,10,13,17,12,12,15,16,21
Maksimilijan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,-,-,-,-,-,-,-
Maksimiljan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,-,6,-,10,-,-,5,-
Malik,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,-,-,-
Manuel,8,7,-,-,9,-,6,6,12,-,10,5,-,9,8,8,8,6,13,5,6,7,-,10
Marcel,13,26,19,27,25,27,34,33,42,38,57,36,38,47,50,53,53,49,57,42,55,42,50,58
Mario,31,26,20,30,29,25,22,24,16,13,10,10,-,-,-,5,6,5,-,-,5,5,-,-
Marjan,17,-,14,8,-,11,6,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mark,25,19,31,47,42,46,48,72,56,74,102,97,111,101,137,133,169,164,177,199,212,197,208,222
Marko,211,228,207,179,178,132,137,100,124,104,106,92,87,95,76,70,67,83,67,73,62,56,57,56
Marsel,7,-,-,-,7,-,12,8,17,16,13,9,13,10,11,13,10,14,9,11,8,12,9,8
Martin,102,130,116,109,124,105,85,99,123,82,95,95,114,77,67,86,93,87,78,71,82,80,78,51
Matej,303,324,270,265,230,182,194,158,173,154,124,102,124,113,89,86,96,79,71,66,58,62,51,53
Mateo,-,-,6,-,-,-,6,-,-,-,7,7,5,6,9,7,5,5,7,10,13,10,19,15
Matev�,68,66,52,78,71,64,70,86,58,76,60,73,69,72,63,91,90,88,74,99,77,83,73,66
Matias,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,8,5,11,8
Matic,247,250,261,228,212,230,209,215,238,176,174,171,180,183,183,189,196,192,213,192,168,137,129,119
Matija,64,64,77,57,61,63,78,56,77,72,95,75,77,75,74,85,93,102,97,99,83,84,85,85
Matja�,102,98,90,76,73,48,61,51,35,37,31,29,21,19,22,16,17,21,13,10,16,7,8,6
Max,-,-,-,-,-,9,-,-,9,5,10,11,8,5,6,9,20,15,19,37,21,24,28,31
May,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-
Maxim,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-
Maximilian,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6
Metod,-,-,-,6,-,-,8,6,-,-,-,-,-,6,6,-,6,7,-,-,-,-,-,-
Michael,6,-,-,-,-,-,-,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Miha,245,218,200,211,230,179,191,201,214,189,192,184,149,154,162,148,168,147,150,144,122,100,108,82
Mihael,42,35,40,33,31,37,35,27,29,26,25,25,27,20,16,13,25,15,23,18,18,18,18,14
Mihajlo,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,-,5,-,10,-
Milan,24,14,7,13,13,7,-,8,-,6,-,6,5,-,-,5,6,5,-,7,-,-,9,5
Milo�,-,6,-,7,-,-,-,-,-,-,-,-,-,8,-,-,-,-,-,11,-,-,6,9
Miran,11,8,8,7,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-
Mirko,8,-,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mi�el,-,-,-,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mitja,153,146,123,96,102,94,95,66,52,66,40,43,40,28,20,19,19,22,12,14,11,14,11,11
Muhamed,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,-,-,-,-,-,-,-
Nace,8,6,14,10,8,14,11,12,16,9,20,24,15,21,31,17,27,32,38,46,48,49,49,63
Nai,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,6,6,10,7,12,6,11
Nail,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,-,-
Naj,-,-,-,-,-,-,-,-,-,-,-,5,7,6,9,5,10,11,13,15,14,14,17,13
Nal,-,-,-,-,-,-,-,5,5,7,8,8,11,14,16,12,17,17,19,26,23,19,27,12
Natan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,-,5,-,-,5,7,-
Nej,-,-,-,-,-,-,-,-,-,-,5,-,-,5,8,-,9,12,14,15,9,6,9,9
Nejc,234,284,240,225,220,239,222,212,201,228,286,312,281,240,236,250,273,229,233,196,226,150,173,146
Nel,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,5,-,-,10,-,5,-,5,-
Nemanja,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,7,5,6,7,5,10,-,6,5
Nenad,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Neo,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,11,8,9,11,10,6,12,9
Nermin,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Nick,-,-,7,6,9,-,7,7,-,6,8,7,11,7,8,9,12,10,14,13,8,11,14,7
Nik,36,44,52,54,75,85,108,105,145,138,196,183,219,206,233,261,271,277,276,272,252,267,269,248
Niki,-,7,-,-,-,-,-,6,-,-,-,-,-,-,-,-,-,5,-,-,5,-,-,-
Niko,24,20,28,25,38,33,37,32,33,46,28,32,34,33,34,26,30,42,32,31,31,21,33,29
Nikola,11,7,11,7,7,8,9,11,11,9,16,19,13,16,12,17,27,24,32,34,32,17,29,33
Nikolaj,-,-,-,-,8,-,6,7,6,5,8,8,5,8,8,10,12,17,11,20,19,19,19,27
Nikolas,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,-,5,5,8
Nil,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,-,5,-,6,-,-,-,-
Nino,26,27,29,33,27,26,26,36,32,35,31,25,28,27,24,28,32,27,32,31,20,13,11,18
Noah,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,-
Noel,-,-,-,-,-,-,-,-,-,5,-,-,6,7,7,5,6,7,8,7,11,17,18,22
Ognjen,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-
Oliver,-,-,-,-,-,-,-,-,-,-,-,6,-,-,7,5,5,8,9,10,13,16,20,23
Omar,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,7,5
Omer,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,7
Oskar,-,-,7,-,8,7,9,10,11,10,18,14,13,24,22,30,42,51,52,68,80,80,94,110
Oto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,10,9,13,10
Oton,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,-,9,-
O�be,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,-,-,-,-,-,-,-
O�bej,-,-,-,-,7,-,7,-,9,7,11,10,23,25,30,35,49,33,46,43,52,42,45,33
Paskal,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,-
Patrick,6,16,10,14,15,17,16,14,10,5,9,13,6,12,11,12,8,11,11,16,8,5,5,9
Patrik,27,37,41,44,58,59,59,63,57,65,70,76,68,75,55,60,74,106,97,102,106,111,107,107
Pavel,7,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-,7,6,-,-,6,6,13,5
Petar,6,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,6,-,-,-,-,5,-,6
Peter,94,83,86,81,76,84,55,46,52,51,42,55,34,35,35,39,34,35,35,25,28,19,33,37
Petja,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-
Pino,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,-,-,-,-,-,5
Primo�,99,89,96,91,87,92,74,52,54,34,31,40,32,22,15,9,19,16,17,13,12,16,8,8
Rafael,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,5,-,-,6,-,-,7
Renato,9,9,11,-,7,-,-,5,-,13,-,6,-,-,-,5,-,-,-,5,-,-,-,-
Rene,23,21,24,11,42,24,26,23,31,44,55,54,53,36,39,32,44,45,52,59,49,63,42,64
Robert,58,55,47,42,33,30,24,21,17,24,14,10,8,5,8,9,11,5,6,9,-,5,6,-
Robi,20,12,11,16,10,-,-,6,8,-,-,7,-,-,-,-,-,-,-,5,-,-,-,-
Robin,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Rok,344,355,305,307,275,265,243,217,213,207,185,172,154,132,151,161,147,132,141,127,121,103,106,84
Roko,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,5,5,-,-
Roman,9,8,8,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ro�le,-,-,-,-,-,-,-,-,-,-,-,6,6,5,5,7,8,12,14,7,20,7,13,12
Ruben,-,-,-,-,-,-,-,-,-,-,6,-,5,5,-,6,8,13,7,15,9,11,9,10
Rudi,-,8,-,-,-,7,-,-,-,-,-,-,-,-,-,5,5,-,-,-,-,-,5,-
Ruj,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,-,5,-
Sami,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-
Samo,34,31,31,18,19,20,19,19,21,24,28,14,34,20,20,29,25,30,14,20,19,27,23,22
Samuel,-,-,-,-,-,-,-,-,-,-,-,6,-,-,5,-,-,15,16,10,11,15,11,8
Sandi,47,41,37,23,28,29,23,14,16,12,10,10,7,11,-,6,10,-,-,-,-,-,-,-
Sanel,-,-,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Sani,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-,5,-,-,-,-,-,-,-,-
Sa�a,7,-,-,6,-,-,-,-,-,-,6,7,10,5,5,11,9,-,5,-,-,-,6,-
Sa�o,63,59,57,39,45,30,20,22,26,21,24,5,12,16,12,12,7,7,7,5,6,6,-,7
Sebastian,12,-,13,8,8,8,-,-,7,-,7,9,-,-,5,-,-,-,-,7,-,-,5,-
Sebastijan,30,17,8,6,9,11,19,8,10,12,-,-,6,-,-,6,6,-,-,-,-,-,-,-
Sebastjan,37,43,40,29,31,32,29,25,20,35,19,23,16,20,23,13,14,17,18,-,9,6,-,-
Sergej,11,11,11,11,9,12,6,13,11,18,10,13,18,17,20,14,14,26,17,19,30,17,16,18
Silvo,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Simon,115,144,124,100,89,59,62,62,49,58,58,34,30,27,32,30,25,30,22,23,18,25,16,20
Sini�a,-,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Sre�ko,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Sta�,7,8,-,10,13,11,9,14,13,19,15,17,18,17,15,19,22,17,24,27,25,18,21,27
Stefan,-,-,7,6,7,8,-,11,10,13,7,6,7,5,11,5,6,17,8,12,14,12,10,28
Sven,-,-,-,7,-,-,8,5,15,10,17,11,17,20,19,27,18,11,25,19,20,21,19,27
Svit,-,-,-,-,-,-,-,5,8,7,17,15,13,30,34,45,66,66,57,54,61,62,64,46
�tefan,12,6,9,12,8,14,7,5,6,7,8,7,-,-,12,-,5,9,5,-,-,6,6,8
Tadej,194,179,161,130,134,115,138,101,124,85,88,63,66,55,72,58,61,66,49,48,54,39,35,37
Tai,-,-,-,-,-,-,-,-,-,-,5,7,13,12,34,53,71,72,73,69,51,52,38,49
Taib,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-
Taj,-,-,-,-,-,-,-,-,-,8,-,10,17,13,35,37,53,60,67,61,49,48,53,38
Taras,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,9,7,6,-,7,-
Tarik,-,-,-,-,-,-,-,-,-,6,10,11,12,14,21,17,27,32,26,27,29,25,21,20
Tay,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5
Tej,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,7,-,6,5,-,-
Tejo,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,-,5,-
Teo,13,7,11,12,7,12,10,13,15,18,33,25,30,28,37,40,57,39,58,51,50,54,57,55
Teodor,9,-,-,-,-,-,-,8,-,-,-,-,8,5,8,7,9,14,13,20,22,15,19,16
Tev�,-,-,-,-,-,-,-,5,6,8,14,10,7,15,21,36,33,17,25,28,31,28,35,31
Thomas,-,-,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Tian,-,-,-,-,-,-,-,6,-,11,5,17,22,44,62,74,77,79,102,108,100,89,88,70
Tibor,-,-,-,-,-,-,8,7,7,-,8,9,7,7,12,11,16,25,23,19,28,23,22,36
Tijan,-,-,-,-,-,-,-,-,-,-,-,-,-,12,13,23,25,24,28,21,26,25,16,16
Til,-,-,-,-,-,-,-,-,7,-,-,-,-,-,-,7,6,-,6,5,-,10,8,-
Tilen,88,135,122,180,165,143,157,163,189,151,158,138,123,130,110,99,117,142,131,125,110,101,92,77
Tim,72,63,69,71,111,88,99,120,118,98,128,141,121,146,132,125,122,128,139,156,143,138,150,136
Timej,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5
Timi,-,8,8,-,-,7,-,11,12,8,8,14,11,6,13,13,7,5,11,8,8,-,5,6
Timon,-,-,-,6,-,-,9,9,5,6,6,20,19,15,13,19,19,15,16,8,5,18,6,16
Timotej,49,73,64,75,78,91,77,92,77,70,85,93,73,80,75,73,76,78,59,57,49,58,48,45
Tin,13,-,-,-,8,12,6,-,7,6,16,13,17,12,11,19,14,14,16,12,22,20,21,16
Tine,26,35,24,22,36,20,36,30,31,22,29,32,39,32,44,41,47,50,60,57,54,54,59,64
Tinej,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,7,7,9,8,5,6,7,5
Tino,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,-,-
Tit,-,-,-,-,-,-,-,7,8,5,-,7,12,8,11,16,21,10,8,15,13,14,16,14
Tjan,-,-,-,-,-,-,-,-,5,-,-,-,11,10,13,21,15,14,11,16,12,8,10,9
Tja�,-,-,-,-,-,-,-,-,-,8,-,7,7,24,23,31,21,25,14,25,23,16,22,18
Tja�,-,-,-,-,-,-,-,-,8,12,7,-,9,15,11,15,6,17,13,16,20,11,14,16
Tobias,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9,-,-,6,-,-,-,-,7
Tobija,-,-,-,-,-,-,-,-,-,-,-,-,-,6,6,9,13,13,12,18,13,16,12,-
Tom,-,6,-,7,-,12,8,11,7,6,-,8,7,12,18,10,5,11,16,9,19,-,5,6
Tomas,-,-,-,-,-,-,-,5,5,7,-,-,6,-,-,6,6,-,6,5,5,-,6,-
Toma�,152,143,142,124,106,112,76,59,69,55,51,51,47,39,31,32,35,51,30,29,15,21,31,16
Tomi,23,9,18,16,11,13,-,14,11,8,7,13,12,18,8,6,14,13,16,9,12,9,5,8
Toni,9,7,9,13,10,8,8,5,5,6,7,-,5,-,8,5,8,-,-,12,6,6,-,-
Tristan,-,-,-,-,-,-,-,-,7,-,10,14,12,21,23,16,38,22,35,33,37,43,45,43
Urban,91,97,117,101,109,85,97,76,107,70,82,73,70,77,79,64,104,95,88,98,93,55,68,71
Urh,11,10,10,17,21,14,14,31,35,26,26,23,21,28,35,31,31,27,24,23,31,42,29,23
Uro�,131,148,131,96,100,71,77,61,63,39,37,36,27,26,26,32,23,27,30,21,32,26,26,26
Val,-,-,-,-,-,-,-,6,8,14,13,23,25,43,42,58,62,64,81,85,92,78,74,64
Valentin,9,14,14,13,14,13,10,11,14,12,9,11,10,12,18,-,11,13,18,9,16,15,15,20
Valentino,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-
Vall,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,-,-,-,-,-,-,-,-,-
Vanja,-,-,-,-,-,-,-,-,-,-,6,-,-,-,-,-,9,5,5,-,-,-,-,-
Vasja,6,6,-,9,-,-,8,5,9,6,-,5,10,12,11,7,6,16,10,7,15,16,11,9
Veno,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-
Vid,50,37,37,58,62,65,58,54,79,101,102,81,151,127,132,132,159,143,162,176,160,150,177,156
Viktor,-,9,-,-,-,-,-,-,-,-,5,-,-,5,9,-,-,8,10,10,6,13,15,20
Vili,-,-,-,-,-,-,6,6,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-
Vitan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,13,13,20,14,19,12,8
Vitja,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,-,6,-
Vito,11,12,16,7,11,17,17,8,22,19,20,19,22,15,27,24,23,35,37,39,53,28,33,30
Voranc,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,-,9,14,8,18,8,7,10,10
Vuk,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,-,-
Zal,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,6,-,-,5,-,-,-,5
Zoran,6,-,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
�ak,-,-,-,6,-,-,12,11,17,19,15,21,21,25,31,31,19,22,26,24,35,36,30,21
�an,118,163,260,338,370,318,358,319,274,289,270,237,232,217,221,238,237,242,243,248,217,212,203,216
�an Luka,-,-,-,-,-,-,-,7,7,6,5,7,6,9,10,11,9,9,6,9,13,5,-,9
�an Mark,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,-,-,-,-,-,-,-,-,-
�iga,253,284,254,231,241,239,223,245,257,205,236,210,202,236,215,217,245,229,257,224,194,169,144,178
